證券代碼,年月日,流通在外股數(百萬股),董監持股數
2379 瑞昱,9/20/2019,508,"35,269"
2380 虹光,9/20/2019,208,"13,107"
2382 廣達,9/20/2019,"3,862","503,703"
2383 台光電,9/20/2019,319,"30,737"
2385 群光,9/20/2019,738,"96,178"
2387 精元,9/20/2019,196,"60,764"
2388 威盛,9/20/2019,493,"46,705"
2390 云辰,9/20/2019,214,"62,649"
2392 正崴,9/20/2019,512,"103,686"
2393 億光,9/20/2019,443,"32,798"
2395 研華,9/20/2019,699,"128,007"
2397 友通,9/20/2019,114,"67,344"
2399 映泰,9/20/2019,178,"21,907"
2401 凌陽,9/20/2019,591,"102,776"
2402 毅嘉,9/20/2019,307,"20,775"
2404 漢唐,9/20/2019,190,"13,721"
2405 浩鑫,9/20/2019,343,"23,023"
2406 國碩,9/20/2019,339,"17,827"
2408 南亞科,9/20/2019,"3,072","915,893"
2409 友達,9/20/2019,"9,624","16,652"
2412 中華電,9/20/2019,"7,757","2,737,719"
2413 環科,9/20/2019,127,"47,666"
2414 精技,9/20/2019,161,"29,869"
2415 錩新,9/20/2019,80,"11,423"
2417 圓剛,9/20/2019,192,"17,548"
2419 仲琦,9/20/2019,228,"16,230"
2420 新巨,9/20/2019,152,"35,464"
2421 建準,9/20/2019,250,"18,856"
2423 固緯,9/20/2019,145,"47,183"
2424 隴華,9/20/2019,30,"10,820"
2425 承啟,9/20/2019,101,"29,713"
2426 鼎元,9/20/2019,300,"22,404"
2427 三商電,9/20/2019,184,"98,551"
2428 興勤,9/20/2019,128,"27,235"
2429 銘旺科,9/20/2019,33,"15,282"
2430 燦坤,9/20/2019,166,"52,426"
2431 聯昌,9/20/2019,110,"40,135"
2433 互盛電,9/20/2019,144,"89,206"
2434 統懋,9/20/2019,70,"20,108"
2436 偉詮電,9/20/2019,178,"13,961"
2438 翔耀,9/20/2019,95,"43,790"
2439 美律,9/20/2019,207,"17,849"
2440 太空梭,9/20/2019,139,"58,267"
2441 超豐,9/20/2019,568,"249,888"
2442 新美齊,9/20/2019,263,"72,125"
2443 新利虹,9/20/2019,145,"13,272"
2444 兆勁,9/20/2019,105,82
2448 晶電,9/20/2019,"1,088","1,731"
2449 京元電子,9/20/2019,"1,222","101,230"
2450 神腦,9/20/2019,258,"86,606"
2451 創見,9/20/2019,430,"16,773"
2453 凌群,9/20/2019,100,"21,937"
2454 聯發科,9/20/2019,"1,589","45,766"
2455 全新,9/20/2019,184,"13,248"
2456 奇力新,9/20/2019,243,"26,971"
2457 飛宏,9/20/2019,337,"58,577"
2458 義隆,9/20/2019,303,"12,165"
2459 敦吉,9/20/2019,105,"27,139"
2460 建通,9/20/2019,169,"57,750"
2461 光群雷,9/20/2019,159,"12,444"
2462 良得電,9/20/2019,142,"56,127"
2464 盟立,9/20/2019,195,"26,432"
2465 麗臺,9/20/2019,53,"1,279"
2466 冠西電,9/20/2019,156,"16,118"
2467 志聖,9/20/2019,149,"6,295"
2468 華經,9/20/2019,69,"47,230"
2471 資通,9/20/2019,47,"7,501"
2472 立隆電,9/20/2019,129,"20,926"
2474 可成,9/20/2019,770,"31,646"
2476 鉅祥,9/20/2019,184,"23,824"
2477 美隆電,9/20/2019,198,"59,705"
2478 大毅,9/20/2019,193,"35,560"
2480 敦陽科,9/20/2019,106,"8,540"
2481 強茂,9/20/2019,369,"66,875"
2482 連宇,9/20/2019,62,"19,856"
2483 百容,9/20/2019,110,"20,527"
2484 希華,9/20/2019,159,"14,088"
2485 兆赫,9/20/2019,317,"36,203"
2486 一詮,9/20/2019,201,"36,475"
2488 漢平,9/20/2019,79,"15,548"
2489 瑞軒,9/20/2019,809,"58,875"
